iteration,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
1,0.25464,9.34,26.85,42.60,65.29,87.26,103.89,145.69,65410.58,686,5.20,0.00,0.00,3.03,5.67,7.83,9.21,9.99
2,0.27294,9.34,26.50,45.08,73.89,97.08,122.16,179.48,73600.95,642,4.87,0.00,0.02,1.72,5.42,7.65,9.07,9.99
3,0.29211,9.34,26.47,44.67,80.55,108.30,139.25,200.18,80297.55,617,4.72,0.00,0.05,0.11,5.28,7.54,9.05,9.99
4,0.30941,9.34,25.82,43.00,83.59,116.58,152.00,216.79,84318.36,593,4.56,0.00,0.06,0.12,5.09,7.40,9.00,9.99
5,0.32013,9.34,25.82,43.00,89.16,124.31,162.66,230.13,89487.54,587,4.53,0.00,0.09,0.15,5.04,7.38,8.99,9.99
6,0.32880,9.34,25.82,42.86,91.79,131.30,171.64,240.86,93187.67,581,4.49,0.00,0.11,0.18,5.00,7.37,8.99,9.99
7,0.33830,9.34,25.82,41.90,93.06,138.11,177.61,232.15,95457.52,572,4.45,0.00,0.13,0.20,4.94,7.33,8.97,9.99
8,0.34391,9.34,25.86,41.61,92.49,141.23,181.12,238.77,96951.32,565,4.40,0.00,0.15,0.22,4.90,7.31,8.97,9.99
9,0.34888,9.34,25.86,41.61,92.82,146.23,186.33,244.12,98821.30,561,4.39,0.00,0.18,0.25,4.89,7.27,8.96,9.99
10,0.35200,9.34,25.86,41.14,92.83,148.13,186.94,259.04,99679.74,558,4.35,0.00,0.20,0.27,4.87,7.26,8.89,9.99
11,0.35523,9.34,25.82,41.14,93.60,150.70,190.75,255.49,100456.02,553,4.33,0.00,0.22,0.30,4.83,7.27,8.89,9.99
12,0.35687,9.34,25.82,41.60,94.56,154.49,192.42,257.87,101548.24,550,4.33,0.00,0.25,0.32,4.82,7.26,8.90,9.99
13,0.35773,9.34,25.82,41.60,94.56,155.15,192.40,260.96,101968.84,547,4.31,0.00,0.27,0.34,4.79,7.25,8.90,9.99
14,0.35810,9.34,25.86,41.90,94.49,156.55,193.50,268.03,102641.86,546,4.31,0.00,0.29,0.37,4.77,7.24,8.89,9.99
15,0.35979,9.34,25.86,41.61,94.40,157.17,194.00,265.88,102214.52,541,4.28,0.00,0.31,0.40,4.72,7.17,8.88,9.99
16,0.36068,9.34,25.86,41.60,92.71,158.01,194.59,262.81,102396.49,539,4.27,0.00,0.33,0.42,4.73,7.13,8.88,9.99
17,0.36075,9.34,25.86,41.60,92.82,158.00,194.74,276.16,102439.16,537,4.26,0.00,0.36,0.44,4.72,7.12,8.88,9.99
18,0.36121,9.34,25.86,41.60,92.71,157.79,195.55,274.21,102387.85,535,4.25,0.00,0.38,0.47,4.71,7.11,8.88,9.99
19,0.36215,9.34,25.86,41.14,90.14,157.71,193.23,272.70,101892.75,531,4.24,0.00,0.40,0.49,4.66,7.10,8.89,9.99
20,0.36233,9.34,25.86,41.60,91.33,159.43,194.71,305.76,102438.81,531,4.24,0.00,0.42,0.52,4.66,7.09,8.89,10.00
21,0.36345,9.34,25.86,40.96,89.93,158.57,195.57,298.04,102021.72,528,4.23,0.00,0.44,0.55,4.65,7.10,8.88,10.00
22,0.36407,9.34,25.86,40.96,89.93,158.53,194.17,301.08,101834.99,526,4.22,0.00,0.46,0.57,4.65,7.08,8.88,10.00
23,0.36362,9.34,25.86,40.96,89.27,155.37,193.10,294.41,101057.17,521,4.20,0.00,0.48,0.59,4.60,7.05,8.84,10.00
24,0.36372,9.34,25.86,40.96,88.90,157.55,194.26,289.12,101269.25,521,4.20,0.00,0.50,0.62,4.60,7.05,8.84,10.00
25,0.36436,9.34,25.86,40.96,89.11,158.67,195.20,284.94,101671.83,522,4.22,0.03,0.52,0.64,4.62,7.06,8.84,10.00
26,0.36367,9.34,25.86,41.14,89.16,157.52,195.67,281.65,101618.08,519,4.21,0.00,0.54,0.67,4.62,7.07,8.82,10.00
27,0.36398,9.34,25.86,41.61,87.71,156.92,196.39,279.07,101363.38,516,4.21,0.00,0.56,0.69,4.61,7.07,8.82,10.00
28,0.36464,9.34,25.86,41.60,87.62,155.36,196.71,277.06,101477.63,515,4.22,0.00,0.59,0.72,4.61,7.07,8.82,10.00
29,0.36464,9.34,25.86,41.60,87.71,155.97,197.18,275.50,101581.04,514,4.23,0.00,0.61,0.74,4.61,7.08,8.83,10.00
30,0.36525,9.34,25.86,41.60,87.71,156.40,197.12,282.04,101894.22,514,4.24,0.00,0.63,0.77,4.63,7.09,8.83,10.00
31,0.36576,9.34,25.86,41.60,87.62,157.59,195.49,279.59,101724.45,514,4.24,0.00,0.66,0.79,4.63,7.10,8.83,10.00
32,0.36587,9.34,25.86,41.60,87.36,158.91,196.46,277.69,101804.55,514,4.25,0.00,0.69,0.82,4.64,7.11,8.84,10.00
33,0.36506,9.34,26.30,41.60,86.99,158.67,195.63,267.94,101843.53,513,4.26,0.00,0.71,0.84,4.64,7.09,8.83,10.00
34,0.36468,9.34,26.30,41.61,86.88,157.73,195.48,283.89,101395.37,509,4.24,0.00,0.73,0.86,4.64,7.08,8.82,10.00
35,0.36515,9.34,26.30,41.90,86.17,157.52,197.32,273.31,101305.55,507,4.25,0.00,0.75,0.89,4.64,7.08,8.82,10.00
36,0.36498,9.34,26.30,41.61,84.22,157.69,195.85,272.87,101120.81,505,4.24,0.00,0.77,0.91,4.64,7.06,8.83,10.00
37,0.36298,9.34,26.47,42.44,86.97,156.33,195.28,272.57,101436.80,506,4.25,0.00,0.79,0.93,4.65,7.07,8.83,10.00
38,0.36273,9.34,26.47,42.55,86.97,157.57,195.38,272.39,101741.71,506,4.26,0.00,0.82,0.95,4.66,7.08,8.83,10.00
39,0.36189,9.34,26.47,42.79,87.36,157.76,195.21,259.93,101685.92,506,4.26,0.00,0.84,0.98,4.67,7.06,8.82,10.00
40,0.36168,9.34,26.47,42.86,86.97,157.88,195.13,259.95,101787.39,506,4.27,0.00,0.86,1.00,4.67,7.07,8.83,10.00
41,0.36210,9.34,26.49,43.00,86.97,158.66,196.81,260.02,102075.79,506,4.29,0.03,0.88,1.03,4.69,7.07,8.83,10.00
42,0.36097,9.34,26.81,43.07,87.62,158.51,196.51,270.13,101859.97,503,4.26,0.00,0.90,1.05,4.63,7.00,8.83,9.98
43,0.36122,9.34,26.81,43.10,87.71,159.05,195.39,260.68,102163.34,504,4.28,0.01,0.92,1.08,4.64,7.01,8.83,9.98
44,0.36093,9.34,26.94,43.23,87.62,157.64,195.40,261.21,101977.65,501,4.26,0.00,0.93,1.10,4.64,7.00,8.84,9.98
45,0.36007,9.34,26.98,43.23,87.71,157.29,194.54,261.21,101820.21,501,4.26,0.00,0.96,1.12,4.53,7.01,8.84,9.98
46,0.35985,9.34,26.98,43.54,87.62,156.87,193.26,265.24,101414.38,499,4.26,0.00,0.97,1.15,4.46,6.96,8.84,9.98
47,0.35925,9.34,27.00,43.72,86.97,156.94,193.97,264.56,101627.30,499,4.27,0.00,0.99,1.17,4.44,6.97,8.84,9.98
48,0.35931,9.34,27.00,43.73,87.36,157.01,194.18,264.06,101925.21,500,4.28,0.04,1.02,1.20,4.46,6.98,8.85,9.98
49,0.35824,9.34,27.00,43.85,87.71,157.85,195.20,264.31,102206.64,500,4.29,0.00,1.04,1.22,4.43,6.98,8.86,9.98
50,0.35888,9.34,27.08,44.08,87.62,157.42,195.82,271.40,102459.90,500,4.29,0.00,1.06,1.24,4.43,6.97,8.83,9.98
51,0.35936,9.34,27.08,44.02,87.39,157.41,195.77,296.23,102453.82,500,4.29,0.00,1.08,1.27,4.38,6.97,8.83,9.98
52,0.35797,9.34,27.32,44.11,87.49,156.25,195.79,296.23,102223.30,496,4.28,0.00,1.07,1.29,4.29,6.96,8.83,9.98
53,0.35785,9.34,27.33,44.11,87.56,157.64,195.90,296.23,102518.98,496,4.29,0.02,1.10,1.31,4.31,6.97,8.83,9.98
54,0.35810,9.34,27.33,44.11,86.97,159.09,196.17,296.23,102548.64,495,4.30,0.00,1.11,1.33,4.32,6.95,8.83,9.98
55,0.35907,9.34,27.33,44.11,87.36,158.51,197.43,296.23,102816.30,495,4.31,0.00,1.15,1.36,4.30,6.97,8.84,9.98
56,0.35953,9.34,27.33,44.11,87.36,158.26,198.64,296.23,103058.38,497,4.32,0.03,1.16,1.38,4.32,6.97,8.84,9.98
57,0.35998,9.34,27.33,44.11,87.36,157.76,199.07,296.23,103081.22,499,4.33,0.00,1.19,1.41,4.30,6.98,8.84,9.98
58,0.35964,9.34,27.33,44.11,86.30,157.78,198.05,296.23,102783.18,497,4.33,0.00,1.20,1.42,4.30,6.97,8.83,9.98
59,0.36064,9.34,27.33,44.11,85.94,158.79,197.75,296.23,102999.80,496,4.33,0.00,1.22,1.44,4.19,6.96,8.83,9.98
60,0.36087,9.34,27.36,44.11,85.96,159.07,197.04,296.23,103228.70,496,4.34,0.00,1.24,1.47,4.18,6.97,8.83,9.98
61,0.36087,9.34,27.36,44.11,86.97,159.40,197.70,296.23,103456.82,499,4.36,0.03,1.27,1.49,4.20,6.98,8.84,9.98
62,0.35950,9.34,27.61,44.15,87.00,159.10,198.92,296.23,103681.87,499,4.36,0.00,1.28,1.52,4.18,6.97,8.83,9.98
63,0.35916,9.34,27.80,44.16,87.49,159.72,198.84,296.23,103820.08,499,4.37,0.00,1.28,1.54,4.16,6.99,8.83,9.98
64,0.35913,9.34,27.80,44.16,87.36,159.01,199.09,296.23,104052.20,500,4.38,0.02,1.31,1.56,4.18,7.00,8.83,9.98
