iteration,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents
1,0.23249,7.81,20.42,34.80,49.40,64.27,74.83,98.21,49084.83,708
2,0.22736,7.81,20.30,35.84,49.80,65.35,74.43,98.21,49836.63,699
3,0.22654,7.81,20.30,36.54,50.36,65.96,74.69,98.21,50107.88,699
4,0.22715,7.81,20.05,36.52,50.53,65.62,74.77,98.21,49948.38,697
5,0.22846,7.81,19.60,36.14,50.38,65.72,74.69,98.21,49695.29,694
6,0.22979,7.81,19.48,36.12,50.44,65.71,74.57,98.21,49636.45,692
7,0.22991,7.81,19.23,36.12,50.30,65.21,74.43,98.21,49557.19,690
8,0.23111,7.81,19.23,35.65,50.28,65.34,74.48,98.21,49496.95,688
9,0.23135,7.81,19.23,35.89,50.32,65.25,74.82,98.21,49578.82,688
10,0.23160,7.81,19.23,35.96,50.22,65.32,74.92,98.21,49561.94,689
11,0.23073,7.81,19.23,35.94,50.31,65.08,74.45,98.21,49463.44,688
12,0.23120,7.81,19.23,35.65,50.25,65.49,74.75,98.21,49523.89,688
13,0.23206,7.81,19.17,35.72,50.16,65.21,74.54,98.21,49428.38,687
14,0.23161,7.81,19.17,35.93,50.24,64.93,74.14,98.21,49499.60,687
15,0.23111,7.81,19.17,36.28,50.46,65.34,74.53,98.21,49559.01,689
16,0.23312,7.81,19.13,35.80,50.40,65.27,74.54,98.21,49378.97,689
17,0.23225,7.81,19.16,35.92,49.86,65.37,74.73,98.21,49441.41,691
18,0.23377,7.81,19.13,35.65,50.59,65.18,75.17,98.21,49392.66,690
19,0.23310,7.81,19.13,35.92,50.13,65.38,75.00,98.21,49455.49,691
20,0.23368,7.81,19.13,35.22,50.58,65.45,74.86,98.21,49418.10,690
21,0.23433,7.81,18.89,35.65,50.66,65.48,74.73,98.21,49411.41,691
22,0.23431,7.81,19.13,35.28,50.20,65.22,74.84,98.21,49383.04,692
23,0.23340,7.81,19.13,35.70,50.54,65.11,74.72,98.21,49375.05,693
24,0.23467,7.81,18.89,34.82,50.39,65.45,74.62,98.21,49269.78,691
25,0.23431,7.81,18.86,35.28,50.04,65.49,74.66,98.21,49272.88,690
26,0.23535,7.81,18.67,35.28,50.30,65.31,74.49,98.21,49193.08,690
27,0.23607,7.81,18.62,34.69,49.79,65.21,74.45,98.21,48981.34,687
