iteration,total_transactions_amount,transactions_count,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
1,7933.78,2602,0.21034,10.03,35.42,51.05,70.30,89.38,102.87,142.49,348808.40,3723,5.28,0.00,0.92,3.34,5.32,7.66,9.13,10.00
2,9439.80,2504,0.20967,10.03,39.56,61.96,83.03,101.72,120.58,178.40,407457.03,3703,5.27,0.00,0.72,3.35,5.33,7.65,9.13,10.00
3,11991.39,2740,0.22330,10.03,40.37,67.33,91.40,115.69,137.83,191.45,453306.01,3684,5.27,0.00,0.58,3.36,5.32,7.65,9.12,10.00
4,13030.89,2798,0.23824,10.03,40.08,69.40,97.21,128.03,151.89,223.15,489222.55,3668,5.27,0.00,0.30,3.36,5.33,7.65,9.12,10.00
5,13811.04,2727,0.24978,10.03,39.99,71.13,101.84,137.22,163.56,229.85,516904.37,3651,5.26,0.00,0.33,3.37,5.31,7.66,9.12,10.00
6,13164.94,2473,0.25930,10.03,40.08,72.14,106.60,145.40,173.43,241.96,539541.93,3638,5.26,0.00,0.38,3.38,5.33,7.66,9.12,10.00
7,14827.40,2695,0.26801,10.03,39.76,72.12,108.75,150.56,181.74,249.24,554885.67,3615,5.25,0.00,0.42,3.38,5.32,7.65,9.12,10.00
8,13374.87,2408,0.27406,10.03,39.68,72.19,111.58,155.54,187.10,278.35,567874.85,3599,5.25,0.00,0.46,3.39,5.32,7.64,9.12,10.00
9,14285.20,2556,0.27870,10.03,39.75,71.66,113.21,159.46,191.85,269.99,577810.71,3581,5.24,0.00,0.49,3.40,5.30,7.65,9.12,10.00
10,15080.87,2608,0.28313,10.03,39.76,71.13,113.94,162.02,196.16,280.47,585603.97,3565,5.24,0.00,0.53,3.41,5.31,7.65,9.11,10.00
11,14160.25,2455,0.28635,10.03,39.59,70.89,114.91,163.64,198.98,301.92,590481.34,3553,5.24,0.00,0.57,3.41,5.29,7.65,9.11,10.00
12,14341.87,2435,0.28894,10.03,39.35,70.70,115.93,165.35,201.30,326.17,594791.19,3543,5.24,0.00,0.60,3.41,5.30,7.66,9.11,10.00
13,14570.62,2458,0.29161,10.03,39.11,70.23,115.69,166.42,202.11,317.01,595844.24,3517,5.22,0.00,0.64,3.37,5.28,7.65,9.11,10.00
14,14264.79,2343,0.29319,10.03,38.91,69.90,116.25,167.50,203.32,309.39,598049.26,3507,5.22,0.00,0.67,3.33,5.28,7.65,9.11,10.00
15,14460.39,2368,0.29518,10.03,38.89,68.74,116.82,168.45,204.80,308.88,599259.79,3492,5.21,0.00,0.70,3.30,5.27,7.64,9.11,10.00
16,13208.10,2164,0.29604,10.03,39.11,68.50,117.04,169.14,205.06,313.74,600263.55,3483,5.21,0.00,0.74,3.27,5.27,7.63,9.11,10.00
17,14840.61,2445,0.29709,10.03,39.17,68.25,117.98,169.89,205.37,318.30,602027.11,3474,5.22,0.00,0.79,3.25,5.28,7.63,9.10,10.00
18,14613.82,2388,0.29788,10.03,39.07,67.56,117.82,170.93,205.21,317.42,602618.24,3461,5.22,0.00,0.82,3.25,5.28,7.62,9.10,10.00
19,13484.98,2171,0.29852,10.03,39.17,67.22,117.28,170.89,206.33,312.45,602683.70,3446,5.22,0.00,0.86,3.22,5.28,7.62,9.10,10.00
20,11263.98,1880,0.29932,10.03,39.32,66.96,117.84,170.62,206.96,312.91,602695.99,3435,5.22,0.00,0.89,3.20,5.27,7.62,9.10,10.00
21,12876.48,2194,0.30003,10.03,39.11,66.77,117.28,170.56,206.96,319.46,602558.74,3429,5.22,0.00,0.93,3.18,5.27,7.62,9.10,10.00
