iteration,total_transactions_amount,transactions_count,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
1,24674.64,1028,0.24237,11.02,81.66,127.90,186.72,248.75,288.06,499.31,187262.47,726,5.24,0.00,0.63,3.17,5.32,7.62,9.08,9.99
2,27177.32,1022,0.24622,11.02,89.15,145.95,203.82,269.93,322.84,580.15,207962.18,725,5.25,0.00,0.54,3.20,5.34,7.63,9.09,9.99
3,32936.35,1124,0.26095,11.02,89.72,148.13,214.13,286.29,364.00,613.56,220331.04,720,5.24,0.00,0.23,3.21,5.34,7.65,9.10,9.99
4,32114.79,1081,0.26579,11.02,93.47,150.08,219.76,292.19,372.73,624.09,227808.72,712,5.22,0.00,0.27,3.22,5.30,7.65,9.09,9.99
5,25824.26,850,0.26860,11.02,98.88,153.32,225.81,297.49,383.74,903.54,234195.61,710,5.21,0.00,0.31,3.24,5.28,7.64,9.09,9.99
6,31706.75,1030,0.27531,11.02,98.58,155.07,229.61,305.89,398.61,761.85,238502.70,709,5.21,0.00,0.36,3.27,5.26,7.65,9.09,9.99
7,33107.36,1069,0.28484,11.02,95.32,155.12,225.40,309.42,410.56,686.46,241697.38,709,5.22,0.00,0.41,3.29,5.29,7.66,9.09,9.99
8,27858.06,872,0.28599,11.02,96.09,153.38,227.06,312.45,413.83,682.22,243536.56,703,5.21,0.00,0.44,3.29,5.29,7.66,9.10,9.99
9,28160.03,893,0.28766,11.02,96.16,153.04,230.44,315.79,424.65,753.80,244117.35,698,5.20,0.00,0.48,3.24,5.30,7.64,9.10,9.99
10,28654.07,894,0.28554,11.02,97.53,153.06,226.21,314.24,423.62,704.71,243966.95,693,5.18,0.00,0.53,3.25,5.25,7.64,9.09,9.99
11,28109.40,872,0.28453,11.02,98.16,152.11,229.89,316.78,423.12,685.37,244990.79,692,5.19,0.00,0.57,3.23,5.23,7.63,9.08,9.99
12,28422.88,893,0.28374,11.02,93.47,157.56,230.78,324.38,416.51,754.46,245158.87,690,5.19,0.00,0.62,3.22,5.23,7.62,9.07,9.99
13,28469.55,879,0.28708,11.02,93.47,154.49,233.42,317.85,418.55,728.38,245819.60,690,5.20,0.00,0.65,3.17,5.24,7.63,9.07,9.99
14,29542.67,920,0.28568,11.02,92.73,152.98,236.26,318.39,410.02,708.10,245386.27,688,5.20,0.00,0.69,3.20,5.22,7.63,9.07,9.99
15,33637.90,1037,0.29123,11.02,92.56,149.97,229.46,321.96,419.96,696.37,244472.00,685,5.20,0.00,0.74,3.17,5.22,7.60,9.06,9.99
16,30801.97,945,0.29205,11.02,93.47,151.82,230.78,312.91,427.92,663.54,244997.59,684,5.21,0.00,0.77,3.20,5.24,7.61,9.07,9.99
17,29700.35,945,0.29216,11.02,93.34,152.14,227.53,319.41,426.70,810.08,243553.85,678,5.19,0.00,0.81,3.11,5.20,7.59,9.06,9.99
18,27723.00,878,0.29308,11.02,93.47,152.14,224.07,318.10,422.93,775.86,243599.68,674,5.19,0.00,0.85,3.11,5.20,7.60,9.07,9.99
19,30518.76,960,0.29191,11.02,88.82,150.06,226.64,315.52,418.36,675.59,244150.75,673,5.21,0.00,0.89,3.14,5.23,7.61,9.08,9.99
20,24704.30,783,0.28445,11.02,96.03,153.85,231.92,317.54,417.63,680.69,245145.75,672,5.21,0.00,0.94,3.14,5.23,7.62,9.08,9.99
21,27080.14,859,0.28804,11.02,93.47,149.56,233.40,322.81,421.80,618.84,245603.57,670,5.22,0.00,0.96,3.14,5.25,7.62,9.09,9.99
22,29533.56,920,0.29120,11.02,93.47,149.30,229.46,328.97,423.45,682.54,245379.55,670,5.23,0.00,1.00,3.12,5.26,7.64,9.09,9.99
23,29630.12,932,0.29066,11.02,89.53,153.73,225.46,324.93,423.75,723.50,244632.02,668,5.24,0.00,1.03,3.12,5.28,7.64,9.09,9.99
24,25477.76,803,0.28901,11.02,89.84,151.95,230.78,318.47,423.08,680.05,243961.13,663,5.23,0.00,1.05,3.10,5.28,7.64,9.09,9.99
25,28725.58,888,0.29049,11.02,91.43,150.72,232.95,320.82,424.42,786.89,243951.91,662,5.23,0.00,1.09,3.09,5.26,7.65,9.09,9.99
26,26505.83,801,0.28553,11.02,91.07,150.27,229.46,317.65,413.82,761.47,241821.87,655,5.21,0.00,1.12,2.97,5.22,7.65,9.06,9.99
27,25420.26,790,0.28871,11.02,89.52,152.14,227.31,321.70,421.14,761.47,243187.72,658,5.23,0.01,1.16,2.99,5.26,7.66,9.06,9.99
28,28913.24,896,0.28692,11.02,93.47,152.14,231.38,323.47,416.24,761.47,243449.60,659,5.25,0.00,1.20,3.02,5.28,7.67,9.07,9.99
29,29708.12,885,0.28693,11.02,91.72,151.01,230.78,318.89,417.05,769.83,243644.32,660,5.27,0.00,1.25,3.04,5.30,7.67,9.07,9.99
30,26754.84,837,0.28595,11.02,91.73,152.68,231.34,325.47,413.75,761.47,242993.51,656,5.27,0.00,1.26,3.04,5.28,7.68,9.08,9.99
31,25355.57,786,0.28482,11.02,93.47,154.65,228.30,317.56,410.18,761.47,243222.00,655,5.28,0.00,1.30,3.04,5.31,7.70,9.08,9.99
32,27734.90,856,0.28527,11.02,92.94,150.97,230.40,313.85,410.26,761.47,242219.21,653,5.28,0.00,1.32,3.00,5.31,7.70,9.09,9.99
33,25488.94,802,0.28275,11.02,89.53,153.18,235.74,319.61,414.64,761.47,243204.50,655,5.30,0.01,1.37,3.04,5.34,7.72,9.09,9.99
34,24655.41,766,0.28254,11.02,93.08,154.63,233.40,311.07,418.59,761.47,243760.52,654,5.31,0.00,1.40,3.01,5.35,7.73,9.10,9.99
