iteration,total_transactions_amount,transactions_count,gini,min,p10,p25,p50,p75,p90,max,total_wealth,adult_agents,edu_mean,edu_min,edu_p10,edu_p25,edu_p50,edu_p75,edu_p90,edu_max
1,686.98,194,0.25361,9.58,27.06,41.45,63.83,87.74,102.62,149.96,64743.05,689,5.20,0.00,0.00,3.13,5.59,7.77,9.10,9.98
2,607.87,156,0.27498,9.58,26.47,44.12,73.34,98.31,121.78,166.31,73392.57,648,4.89,0.00,0.03,1.84,5.36,7.52,9.01,9.98
3,627.81,146,0.29789,9.58,25.80,43.90,77.82,109.54,138.66,189.97,79406.79,621,4.68,0.00,0.04,0.13,5.13,7.47,8.97,9.98
4,706.88,153,0.31354,9.58,25.57,42.55,82.73,118.05,151.39,206.32,84561.65,606,4.58,0.00,0.06,0.13,5.03,7.42,8.93,9.98
5,704.41,139,0.32664,9.58,25.60,42.15,86.45,129.83,163.77,219.46,89296.60,597,4.54,0.00,0.09,0.15,5.00,7.40,8.94,9.98
6,525.28,101,0.33788,9.58,25.57,41.18,87.30,134.72,172.55,230.02,92093.63,584,4.47,0.00,0.11,0.17,4.96,7.35,8.93,9.98
7,739.90,136,0.34447,9.58,25.57,40.53,87.05,137.21,174.32,240.40,92877.50,568,4.37,0.00,0.12,0.19,4.83,7.28,8.86,9.98
8,715.95,126,0.35025,9.58,25.57,40.53,87.89,141.13,180.54,262.51,95150.13,564,4.35,0.00,0.15,0.22,4.81,7.27,8.86,9.98
9,733.93,127,0.35465,9.58,25.57,40.70,88.81,143.62,185.31,262.86,96862.52,558,4.32,0.00,0.16,0.24,4.75,7.24,8.86,9.98
10,596.33,113,0.35786,9.58,25.57,40.53,88.45,145.08,188.18,263.19,97609.23,554,4.29,0.00,0.19,0.26,4.72,7.18,8.86,9.98
11,588.03,109,0.36060,9.58,25.57,40.53,89.23,148.22,189.76,255.61,98284.29,550,4.26,0.00,0.21,0.29,4.71,7.17,8.85,9.98
12,427.17,77,0.36303,9.58,25.60,40.53,89.85,148.06,193.00,259.27,99024.81,546,4.25,0.00,0.23,0.31,4.70,7.17,8.85,9.98
13,572.70,98,0.36524,9.58,25.60,40.53,89.60,149.24,194.83,262.25,99491.71,542,4.23,0.00,0.25,0.34,4.68,7.14,8.82,9.98
14,415.56,74,0.36652,9.58,25.60,40.53,90.31,151.57,196.46,276.09,100433.02,541,4.24,0.00,0.28,0.36,4.68,7.15,8.82,9.99
15,613.26,103,0.36765,9.58,25.60,40.53,89.28,150.62,196.92,275.82,100274.65,536,4.22,0.00,0.30,0.39,4.66,7.12,8.83,9.99
16,702.24,115,0.36861,9.58,25.80,40.53,89.44,152.35,196.42,281.61,100475.82,532,4.21,0.00,0.31,0.41,4.65,7.12,8.83,9.99
17,659.82,106,0.36814,9.58,25.80,40.70,89.50,150.72,197.78,271.40,100239.42,528,4.19,0.00,0.34,0.44,4.65,7.12,8.81,9.99
18,545.02,94,0.36821,9.58,25.80,40.92,88.04,151.96,198.95,268.60,100497.71,525,4.19,0.00,0.36,0.46,4.63,7.10,8.81,9.99
